"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-032 -- Mise a jour complete avec token valide (PUT /booking/{id})","384","test_tc032__mise_a_jour_complete_avec_token_valide_put_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/auth.feature: TC-004 -- SQL injection dans username (POST /auth)","202","test_tc004__sql_injection_dans_username_post_auth","tests","2026-09-17","passed","2026-09-17","","test_auth_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-009 -- Filtre par checkin (GET /booking?checkin=2018-01-01)","139","test_tc009__filtre_par_checkin_get_bookingcheckin20180101","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-020 -- Creation avec tous les champs valides (POST /booking)","158","test_tc020__creation_avec_tous_les_champs_valides_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-039 -- PATCH totalprice uniquement (PATCH /booking/{id})","350","test_tc039__patch_totalprice_uniquement_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-021 -- Creation sans champ optionnel additionalneeds (POST /booking)","160","test_tc021__creation_sans_champ_optionnel_additionalneeds_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-015 -- Dates au format ISO 8601 (GET /booking/{id})","165","test_tc015__dates_au_format_iso_8601_get_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-046 -- Verification suppression par GET apres DELETE","451","test_tc046__verification_suppression_par_get_apres_delete","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-017 -- ID non numerique (GET /booking/abc)","259","test_tc017__id_non_numerique_get_bookingabc","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-050 -- Double DELETE sur le meme ID","343","test_tc050__double_delete_sur_le_meme_id","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-014 -- Validation schema JSON (GET /booking/{id})","200","test_tc014__validation_schema_json_get_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-018 -- ID negatif (GET /booking/-1)","165","test_tc018__id_negatif_get_booking1","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-013 -- Reservation existante valide (GET /booking/{id})","238","test_tc013__reservation_existante_valide_get_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-045 -- DELETE avec token valide (DELETE /booking/{id})","336","test_tc045__delete_avec_token_valide_delete_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-006 -- Liste complete sans filtre (GET /booking)","192","test_tc006__liste_complete_sans_filtre_get_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-019 -- ID zero (GET /booking/0)","168","test_tc019__id_zero_get_booking0","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-022 -- Dates checkin egale checkout (POST /booking)","137","test_tc022__dates_checkin_egale_checkout_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/auth.feature: TC-003 -- Champs username et password manquants (POST /auth)","179","test_tc003__champs_username_et_password_manquants_post_auth","tests","2026-09-17","passed","2026-09-17","","test_auth_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-026 -- Champ depositpaid manquant (POST /booking)","182","test_tc026__champ_depositpaid_manquant_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-029 -- checkin posterieur a checkout (POST /booking)","156","test_tc029__checkin_posterieur_a_checkout_post_booking","tests","2026-09-17","failed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-049 -- DELETE sur ID inexistant (DELETE /booking/9999999)","296","test_tc049__delete_sur_id_inexistant_delete_booking9999999","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-047 -- DELETE sans token (DELETE /booking/{id})","427","test_tc047__delete_sans_token_delete_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-008 -- Filtre par lastname (GET /booking?lastname=Brown)","134","test_tc008__filtre_par_lastname_get_bookinglastnamebrown","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-028 -- totalprice negatif (POST /booking)","150","test_tc028__totalprice_negatif_post_booking","tests","2026-09-17","failed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-025 -- Champ totalprice manquant (POST /booking)","136","test_tc025__champ_totalprice_manquant_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/auth.feature: TC-002 -- Credentials incorrects (POST /auth)","168","test_tc002__credentials_incorrects_post_auth","tests","2026-09-17","passed","2026-09-17","","test_auth_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-034 -- PUT sans authentification (PUT /booking/{id})","423","test_tc034__put_sans_authentification_put_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-037 -- PUT sans champ requis firstname (PUT /booking/{id})","332","test_tc037__put_sans_champ_requis_firstname_put_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-007 -- Filtre par firstname (GET /booking?firstname=Jim)","151","test_tc007__filtre_par_firstname_get_bookingfirstnamejim","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-030 -- Body vide (POST /booking)","136","test_tc030__body_vide_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-044 -- PATCH avec body vide (PATCH /booking/{id})","324","test_tc044__patch_avec_body_vide_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-027 -- Champ bookingdates manquant (POST /booking)","208","test_tc027__champ_bookingdates_manquant_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-038 -- PATCH firstname uniquement (PATCH /booking/{id})","344","test_tc038__patch_firstname_uniquement_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_delete.feature: TC-048 -- DELETE avec token invalide (DELETE /booking/{id})","395","test_tc048__delete_avec_token_invalide_delete_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_delete_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-023 -- Champ firstname manquant (POST /booking)","190","test_tc023__champ_firstname_manquant_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_get.feature: TC-016 -- ID inexistant (GET /booking/9999999)","166","test_tc016__id_inexistant_get_booking9999999","tests","2026-09-17","passed","2026-09-17","","test_booking_get_bdd","",""
